sample	circle_id	transcript_id	other_ids	exon_id	chr	start	end	strand	exon_length	unique_reads	fragments	number+	number-
hek293_B	12:1027748-1028572	NM_178039	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	1	12	1027747	1028572	+	825	7	14	4	10
hek293_B	X:131749306-131785258	NR_026975	NR_026975	3	X	131749305	131749458	-	153	4	4	1	3
hek293_B	X:131749306-131785258	NR_026975	NR_026975	4	X	131755597	131755746	-	149	1	1	0	1
hek293_B	X:131749306-131785258	NR_026975	NR_026975	5	0	0	0	0	0	0	0	0	0
hek293_B	X:131749306-131785258	NR_026975	NR_026975	6	0	0	0	0	0	0	0	0	0
hek293_B	X:131749306-131785258	NR_026975	NR_026975	7	X	131783886	131784039	-	153	2	2	0	2
hek293_B	1:226961377-226965737	NM_020247	NM_020247	1	1	226961376	226961562	+	186	5	5	1	4
hek293_B	1:226961377-226965737	NM_020247	NM_020247	2	1	226964999	226965410	+	411	4	4	1	3
hek293_B	1:226961377-226965737	NM_020247	NM_020247	3	1	226965670	226965737	+	67	5	5	1	4
hek293_B	4:1225360-1241519	NM_001012614	NM_001328,NM_001012614	5	4	1225359	1225566	-	207	5	5	2	3
hek293_B	4:1225360-1241519	NM_001012614	NM_001328,NM_001012614	6	4	1228198	1228343	-	145	1	1	1	0
hek293_B	4:1225360-1241519	NM_001012614	NM_001328,NM_001012614	7	0	0	0	0	0	0	0	0	0
hek293_B	4:1225360-1241519	NM_001012614	NM_001328,NM_001012614	8	4	1241324	1241519	-	195	5	5	2	3
hek293_B	10:94030683-94032252	NM_001288989	NM_001288989,NM_016341	1	10	94030682	94032252	+	1570	4	8	2	6
hek293_B	3:8935871-8941804	NM_020165	NM_020165	6	3	8935870	8936055	-	185	4	4	1	3
hek293_B	3:8935871-8941804	NM_020165	NM_020165	7	3	8939553	8939653	-	100	1	1	0	1
hek293_B	3:8935871-8941804	NM_020165	NM_020165	8	3	8941466	8941804	-	338	4	4	1	3
hek293_B	6:18236452-18258405	NM_003472	NM_003472,NM_001134709	2	6	18236451	18236600	-	149	9	11	7	4
hek293_B	6:18236452-18258405	NM_003472	NM_003472,NM_001134709	3	6	18237380	18237516	-	136	5	5	2	3
hek293_B	6:18236452-18258405	NM_003472	NM_003472,NM_001134709	4	0	0	0	0	0	0	0	0	0
hek293_B	6:18236452-18258405	NM_003472	NM_003472,NM_001134709	5	0	0	0	0	0	0	0	0	0
hek293_B	6:18236452-18258405	NM_003472	NM_003472,NM_001134709	6	0	0	0	0	0	0	0	0	0
hek293_B	6:18236452-18258405	NM_003472	NM_003472,NM_001134709	7	6	18257952	18258062	-	110	3	3	3	0
hek293_B	6:18236452-18258405	NM_003472	NM_003472,NM_001134709	8	6	18258303	18258405	-	102	9	11	7	4
hek293_B	8:127890589-127890998	NR_003367	NR_003367	0	8	127890627	127890998	+	371	5	10	5	5
hek293_B	3:158122103-158123991	NM_001271838	NM_001271838,NM_001271834,NM_016625	1	3	158122102	158122298	+	196	8	20	12	8
hek293_B	3:158122103-158123991	NM_001271838	NM_001271838,NM_001271834,NM_016625	2	3	158123865	158123991	+	126	8	11	7	4
hek293_B	1:224952670-224974153	NM_001373	NM_144989,NM_001373,NM_001145154	1	1	224952669	224952779	+	110	9	9	4	5
hek293_B	1:224952670-224974153	NM_001373	NM_144989,NM_001373,NM_001145154	2	1	224954958	224955098	+	140	6	6	2	4
hek293_B	1:224952670-224974153	NM_001373	NM_144989,NM_001373,NM_001145154	3	0	0	0	0	0	0	0	0	0
hek293_B	1:224952670-224974153	NM_001373	NM_144989,NM_001373,NM_001145154	4	0	0	0	0	0	0	0	0	0
hek293_B	1:224952670-224974153	NM_001373	NM_144989,NM_001373,NM_001145154	5	1	224967430	224967583	+	153	3	3	2	1
hek293_B	1:224952670-224974153	NM_001373	NM_144989,NM_001373,NM_001145154	6	1	224968758	224968874	+	116	3	3	2	1
hek293_B	1:224952670-224974153	NM_001373	NM_144989,NM_001373,NM_001145154	7	1	224974090	224974153	+	63	9	9	4	5
hek293_B	12:1236769-1371977	NM_178039	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	11	12	1236768	1236904	+	136	5	5	1	4
hek293_B	12:1236769-1371977	NM_178039	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	12	12	1263033	1263165	+	132	1	1	0	1
hek293_B	12:1236769-1371977	NM_178039	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	13	12	1289851	1290012	+	161	2	2	1	1
hek293_B	12:1236769-1371977	NM_178039	NM_178039,NR_027946,NM_178040,NR_027948,NR_027949,NM_001301248	14	12	1371832	1371977	+	145	5	5	1	4
hek293_B	10:5773842-5800705	NM_001115156	NM_001115156,NM_001494	4	10	5773841	5773941	-	100	5	6	1	5
hek293_B	10:5773842-5800705	NM_001115156	NM_001115156,NM_001494	5	10	5785141	5785273	-	132	2	2	0	2
hek293_B	10:5773842-5800705	NM_001115156	NM_001115156,NM_001494	6	0	0	0	0	0	0	0	0	0
hek293_B	10:5773842-5800705	NM_001115156	NM_001115156,NM_001494	7	10	5796762	5796862	-	100	3	4	1	3
hek293_B	10:5773842-5800705	NM_001115156	NM_001115156,NM_001494	8	10	5800597	5800705	-	108	5	6	1	5
hek293_B	5:168488602-168494650	NM_002887	NM_002887	1	5	168488601	168488736	+	135	7	8	3	5
hek293_B	5:168488602-168494650	NM_002887	NM_002887	2	5	168492658	168492847	+	189	3	3	0	3
hek293_B	5:168488602-168494650	NM_002887	NM_002887	3	5	168493893	168494002	+	109	3	4	2	2
hek293_B	5:168488602-168494650	NM_002887	NM_002887	4	5	168494549	168494650	+	101	7	8	3	5
hek293_B	20:35714185-35725155	NM_184234	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	6	20	35714184	35714389	-	205	8	8	7	1
hek293_B	20:35714185-35725155	NM_184234	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	7	20	35716739	35716805	-	66	1	1	1	0
hek293_B	20:35714185-35725155	NM_184234	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	8	0	0	0	0	0	0	0	0	0
hek293_B	20:35714185-35725155	NM_184234	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	9	20	35724569	35724722	-	153	6	6	5	1
hek293_B	20:35714185-35725155	NM_184234	NR_040723,NR_040722,NM_184234,NM_004902,NR_040724,NM_001242600,NM_001242599	10	20	35725037	35725155	-	118	8	8	7	1
hek293_B	X:140783175-140784659	NM_004065	NM_004065	0	X	140783259	140784558	-	1299	28	41	11	30
hek293_B	7:100023419-100024307	NM_001287054	NM_003439,NM_001287054	2	7	100023418	100023461	+	43	16	17	8	9
hek293_B	7:100023419-100024307	NM_001287054	NM_003439,NM_001287054	3	7	100023551	100023932	+	381	11	12	6	6
hek293_B	7:100023419-100024307	NM_001287054	NM_003439,NM_001287054	4	7	100024153	100024307	+	154	16	17	8	9
hek293_B	18:12999421-13019206	NM_032142	NM_032142	1	18	12999420	12999588	+	168	8	9	3	6
hek293_B	18:12999421-13019206	NM_032142	NM_032142	2	18	13001456	13001582	+	126	4	4	1	3
hek293_B	18:12999421-13019206	NM_032142	NM_032142	3	0	0	0	0	0	0	0	0	0
hek293_B	18:12999421-13019206	NM_032142	NM_032142	4	0	0	0	0	0	0	0	0	0
hek293_B	18:12999421-13019206	NM_032142	NM_032142	5	0	0	0	0	0	0	0	0	0
hek293_B	18:12999421-13019206	NM_032142	NM_032142	6	0	0	0	0	0	0	0	0	0
hek293_B	18:12999421-13019206	NM_032142	NM_032142	7	18	13018479	13018615	+	136	3	3	1	2
hek293_B	18:12999421-13019206	NM_032142	NM_032142	8	18	13019081	13019206	+	125	8	9	3	6
hek293_B	22:50372020-50394135	NM_001242898	NM_001242898,NM_001242899,NM_001242900,NM_014678	1	22	50372019	50372150	+	131	7	7	3	4
hek293_B	22:50372020-50394135	NM_001242898	NM_001242898,NM_001242899,NM_001242900,NM_014678	2	22	50393892	50394135	+	243	7	7	3	4
hek293_B	10:31908172-31910563	NM_001270698	NM_001270699,NM_001270698,NM_001270697,NM_001270696,NM_001270695,NM_018287	14	10	31908171	31908926	-	755	6	7	5	2
