circle_id	length	cluster_id
10_68468123_68470163	367	2
11_103303093_103323990	246	3
1_117402186_117405645	353	2
1_117402186_117414831	472	4
12_116230533_116237705	238	3
12_1236769_1290012	429	4
12_69589485_69593613	485	4
16_31090775_31091342	489	4
17_47663089_47668410	476	1
1_8655973_8656441	469	2
22_20933779_20934244	466	2
2_222220140_222232283	471	2
22_41808875_41813822	241	1
22_45689712_45740538	279	3
22_45729425_45740538	445	2
22_50372020_50394135	374	2
3_142736379_142748460	460	2
3_158122103_158123991	322	3
3_56660731_56673725	314	1
4_51863437_51877854	318	1
5_180261684_180280608	497	2
6_79042843_79060818	411	2
7_129014979_129018157	432	4
7_152309966_152315338	460	4
7_155672867_155680908	445	4
8_18765449_18804898	466	4
8_47279862_47294030	455	2
9_100498765_100516771	364	1
9_135881633_135883078	425	2
9_20819796_20823115	465	1
X_131743096_131794466	496	3
