circle_id	length	cluster_id
10_12081472_12091684	623	3
10_31908172_31910563	794	1
10_68459104_68470163	645	3
10_7243558_7285954	684	2
1_117402186_117420649	553	2
1_117402186_117442325	601	2
1_155438327_155459898	844	2
1_15872816_15876678	798	2
1_20749723_20773610	655	3
12_100282943_100298175	508	2
12_1027748_1028572	825	2
12_104927973_104928694	722	2
12_1180540_1190052	614	2
12_1236769_1371977	574	2
1_224952670_224974153	682	1
1_224952670_225007544	777	3
1_226961377_226965737	664	2
1_243545510_243843282	861	1
1_243613671_243843282	575	1
12_69251129_69262562	804	3
13_112516440_112527484	525	2
1_31915895_31919658	782	3
1_35358925_35361789	755	3
13_77719532_77753358	788	3
14_30877572_30880734	547	1
14_96833467_96860735	759	3
14_99458279_99465813	660	2
15_32526813_32533368	916	4
15_64499293_64500166	747	2
15_69210316_69261329	933	3
1_58506060_58539310	916	2
17_4066447_4072756	564	2
18_12999421_13019206	755	1
18_21765772_21779685	607	2
18_21765772_21819646	922	2
1_84865385_84866138	754	2
1_8495063_8557523	583	2
19_34451981_34464131	564	1
20_35714185_35725155	592	2
2_189791790_189818180	602	1
2_207976651_207977586	936	3
3_8935871_8941804	623	1
4_1225360_1241519	597	1
4_152411303_152412529	763	2
4_177353308_177360677	596	3
4_185247294_185267155	662	2
4_1900626_1904378	789	2
5_123545417_123557564	536	2
5_168488602_168494650	534	2
5_65567513_65572286	702	2
5_74813840_74841679	637	2
5_79439010_79457018	522	1
5_94643273_94654752	630	1
6_18236452_18258405	647	1
6_4891713_4892379	667	3
7_100023419_100024307	578	2
7_122113118_122133741	810	2
7_135577796_135593192	786	3
7_24623666_24668660	703	2
8_18765449_18804898	538	2
9_85669485_85712566	584	2
9_92256680_92269983	692	2
X_131749306_131785258	555	3
X_131749306_131794466	595	3
