circle_id	length	cluster_id
10_5773842_5800705	490	2
10_7276892_7285954	434	3
11_117152441_117163892	400	3
1_117402186_117414831	472	2
11_66639700_66640123	424	3
12_116230533_116237705	238	4
12_1236769_1290012	429	3
1_22078429_22086866	476	3
13_75560753_75569507	420	2
1_41070595_41075451	360	2
1_41113283_41143112	235	4
22_20933779_20934244	466	2
22_45729425_45740538	445	3
22_50372020_50394135	374	2
2_61522611_61533903	307	2
3_142736379_142748460	460	3
3_158122103_158123991	322	1
3_56660731_56673725	208	3
4_87195324_87195690	367	2
5_180261684_180280608	417	3
5_69174877_69175537	378	2
6_79042843_79060818	411	3
8_127890589_127890998	371	4
9_135881633_135883078	425	3
9_83678441_83686155	411	2
X_131743096_131794466	496	4
